sample_id,label,prediction,correct
1,1,1,1
2,0,0,1
3,1,1,1
4,0,0,1
5,1,1,1
6,0,0,1
7,1,1,1
8,0,0,1
9,1,1,1
10,0,0,1
11,1,1,1
12,0,0,1
13,1,1,1
14,0,0,1
15,1,1,1
16,0,0,1
17,1,1,1
18,0,0,1
19,1,1,1
20,0,0,1
21,1,1,1
22,0,0,1
23,1,1,1
24,0,0,1
25,1,1,1
26,0,0,1
27,1,1,1
28,0,0,1
29,1,1,1
30,0,0,1
31,1,1,1
32,0,0,1
33,1,1,1
34,0,0,1
35,1,1,1
36,0,0,1
37,1,1,1
38,0,0,1
39,1,1,1
40,0,0,1
41,1,1,1
42,0,0,1
43,1,1,1
44,0,0,1
45,1,1,1
46,0,0,1
47,1,1,1
48,0,0,1
49,1,1,1
50,0,0,1
51,1,1,1
52,0,0,1
53,1,1,1
54,0,0,1
55,1,1,1
56,0,0,1
57,1,1,1
58,0,0,1
59,1,1,1
60,0,0,1
61,1,1,1
62,0,0,1
63,1,1,1
64,0,0,1
65,1,1,1
66,0,0,1
67,1,1,1
68,0,0,1
69,1,1,1
70,0,0,1
71,1,1,1
72,0,0,1
73,1,1,1
74,0,0,1
75,1,1,1
76,0,0,1
77,1,1,1
78,0,0,1
79,1,1,1
80,0,0,1
81,1,1,1
82,0,0,1
83,1,1,1
84,0,0,1
85,1,1,1
86,0,0,1
87,1,1,1
88,0,0,1
89,1,1,1
90,0,1,0
91,1,0,0
92,0,1,0
93,1,0,0
94,0,1,0
95,1,0,0
96,0,1,0
97,1,0,0
98,0,1,0
99,1,0,0
100,0,1,0
